Date,price,returns,ema7,ema21,ema_fast_slope,ema_slow_slope,vol_benchmark,vol_stddev,vol_forecast_final,vol_pred_cons,garch_vol,heston_vol,zscore,0,buy_gate,sell_gate,trend_up,trend_down,ema_cross_up,ema_cross_down,buy_signal,sell_signal,position
2024-09-26,5745.3701171875,0.00403867571712313,5704.992824949756,5631.092235723276,0.002342598847081734,0.001989042988237706,0.14301878944165217,0.004692951142098505,0.13034000920640113,0.13034000920640113,0.12283519162990535,0.1378448267828969,-2.5357560470502083,Neutral,True,False,True,False,False,False,True,False,1
2024-09-27,5738.169921875,-0.0012532169669905446,5713.287099181067,5640.826570827978,0.001445456364004032,0.0016964180631167606,0.1431002983245691,0.004587790775021013,0.11845858246416102,0.13196100923744103,0.11845858246416102,0.14546343601072106,-4.928343172081617,Neutral,True,False,True,False,False,False,True,False,1
2024-09-30,5762.47998046875,0.004236552581176722,5725.585319502988,5651.8859717044115,0.002134188815163637,0.0019192085549829757,0.14157474590380462,0.003963196081836173,0.11221730673424016,0.12809732718097366,0.11221730673424016,0.14397734762770714,-5.871487833912892,Neutral,True,False,True,False,False,False,True,False,1
2024-10-01,5708.75,-0.009324107094664358,5721.3764896272405,5657.055428822192,-0.0007372594483463354,0.00090553222995935,0.1402256386778423,0.0022278813572730954,0.12370381607247535,0.12370381607247535,0.1099185522042567,0.137489079940694,-3.3043645210733885,Neutral,True,False,True,False,False,False,False,False,1
2024-10-02,5709.5400390625,0.00013839090212397487,5718.417376986055,5661.826757025856,-0.0005182751361650863,0.000835676459227934,0.13598655672878243,0.009173165782013434,0.12006851739232374,0.13271630926657318,0.12006851739232374,0.1453641011408226,-1.7352830761731652,Neutral,True,False,True,False,False,False,False,False,1
2024-10-03,5699.93994140625,-0.001681413492255035,5713.798018091104,5665.291591969528,-0.0008104223803123346,0.0006078721844948441,0.13242217754580338,0.01173405167439437,0.11331849424634224,0.1305800950949753,0.11331849424634224,0.14784169594360835,-1.6280551534597814,Neutral,True,False,True,False,False,False,False,False,1
2024-10-04,5751.06982421875,0.008970249395274354,5723.115969623015,5673.089613083093,0.0016202118591348165,0.0013559253064058911,0.12912581644002952,0.012515745410612764,0.10807697270704185,0.11910678197603733,0.10807697270704185,0.1301365912450328,-1.6817890618915303,Neutral,True,False,True,False,False,False,True,False,1
2024-10-07,5695.93994140625,-0.009586022165882668,5716.321962568823,5675.1669156579255,-0.00119278066905221,0.0003646988198964957,0.12379374929869444,0.014739575233921757,0.1176201652110798,0.12544951258178386,0.1176201652110798,0.1332788599524879,-0.41884409758340296,Neutral,True,False,True,False,False,False,False,False,1
2024-10-08,5751.1298828125,0.009689347495581924,5725.023942629743,5682.072639944705,0.0015130905123401644,0.00120075957724714,0.1184793408517398,0.015367174409111341,0.1286357189315777,0.1286357189315777,0.12660514953993346,0.13066628832322194,0.6609138290131006,Neutral,True,True,True,False,False,False,True,False,1
2024-10-09,5792.0400390625,0.007113411987488272,5741.777966737933,5692.06967622814,0.002892594663572371,0.0017259957141203934,0.11328006847055093,0.013509697566709477,0.12896209121980443,0.12896209121980443,0.13371720971913895,0.12420697272046992,1.1607974695079075,Neutral,True,True,True,False,False,False,True,False,1
2024-10-10,5780.0498046875,-0.002070122839989974,5751.345926225325,5700.067869724446,0.00165534204906546,0.0013837585776196738,0.10745104767808657,0.00790540026859168,0.12367347511482005,0.12367347511482005,0.13286176148097475,0.11448518874866535,2.052069077537481,Neutral,True,True,True,False,False,False,True,False,1
2024-10-11,5815.02978515625,0.006051847587953629,5767.266890958056,5710.518952945518,0.0027378990858090324,0.001797253600961874,0.1049681813467477,0.007770802867499316,0.12139158412943685,0.12139158412943685,0.12499648180415539,0.11778668645471829,2.113475668180769,Neutral,True,True,True,False,False,False,True,False,1
2024-10-14,5859.85009765625,0.0077076668832223305,5790.412692632604,5724.094511555584,0.003949896548344438,0.0023167074897522785,0.10267680214066979,0.0064764663244495715,0.11935985315990236,0.11935985315990236,0.12358710941693762,0.11513259690286709,2.575949628001878,Neutral,True,True,True,False,False,False,True,False,1
2024-10-15,5815.259765625,-0.007609466332438197,5796.624460880703,5732.382261925531,0.001068184139394302,0.0014251728562388213,0.10094480990136022,0.0024452435139643556,0.12452977783704448,0.12452977783704448,0.1260869362771922,0.12297261939689677,4.7169935871368525,Neutral,True,True,True,False,False,False,True,False,1
2024-10-16,5842.47021484375,0.004679145956573816,5808.085899371465,5742.390257645368,0.0019617453010957824,0.0017129733403536676,0.10125371298708181,0.002841662321240083,0.12482966683418364,0.12482966683418364,0.127836139255349,0.12182319441301828,4.715190769420366,Neutral,True,True,True,False,False,False,True,False,1
2024-10-17,5841.47021484375,-0.00017116047891174713,5816.431978239536,5751.3975264815845,0.0014287634039223786,0.0015419523689991165,0.10167894459614897,0.0030168408526371204,0.12309582520125144,0.12309582520125144,0.1235601819081481,0.12263146849435477,4.283376121020494,Neutral,True,True,True,False,False,False,True,False,1
2024-10-18,5864.669921875,0.00397155273894878,5828.491464148402,5761.695016971895,0.0020562940573832767,0.001755851672385019,0.09978592241454509,0.005684220272238826,0.121755453468264,0.121755453468264,0.11631196786872143,0.12719893906780658,3.8650034660014736,Neutral,True,True,True,False,False,False,True,False,1
2024-10-21,5853.97998046875,-0.0018227694906369774,5834.863593228489,5770.084559107972,0.0010885122773475113,0.0014331347500450109,0.09835901753889395,0.007062939424439765,0.11723483086310826,0.11723483086310826,0.11292115323516166,0.12154850849105488,2.67251525036427,Neutral,True,True,True,False,False,False,True,False,1
2024-10-22,5851.2001953125,-0.0004748538883844189,5838.947743749492,5777.458707853839,0.0006980021849662052,0.0012602796861700338,0.09706251148927371,0.007942874934111494,0.11095366440379384,0.11095366440379384,0.10783207164640451,0.11407525716118316,1.7488822409708535,Neutral,True,True,True,False,False,False,True,False,1
2024-10-23,5797.419921875,-0.009191323428069387,5828.565788280868,5779.273363673944,-0.001790788938619029,0.0003130109332356676,0.09652357918695144,0.00789743000025966,0.10645566493045638,0.10645566493045638,0.10294263736997068,0.10996869249094209,1.257635172857295,Neutral,True,True,True,False,False,False,False,True,1
2024-10-24,5809.85986328125,0.002145772011323821,5823.889307030964,5782.053954547336,-0.0008049215230576923,0.0004785986131894927,0.09517565237848091,0.007038060590239293,0.11611183821704398,0.11611183821704398,0.11453986393499752,0.11768381249909043,2.97470951977855,Neutral,True,True,True,False,False,False,False,True,1
2024-10-25,5808.1201171875,-0.00029944716993013376,5819.947009570098,5784.423605696441,-0.000678756186394959,0.00040798934961640157,0.09366346117407096,0.005528613428300016,0.11148007330711317,0.11148007330711317,0.10943554387923109,0.11352460273499525,3.222618539730424,Neutral,True,True,True,False,False,False,False,True,1
2024-10-28,5823.52001953125,0.0026514435020339455,5820.8402620603865,5787.9778251359685,0.000153387038645457,0.000610321494149101,0.09231363977917638,0.003286121932908481,0.10950455380441763,0.10950455380441763,0.10427429270761292,0.11473481490122235,3.438182805048251,Neutral,True,True,True,False,False,False,False,False,1
2024-10-29,5832.919921875,0.001614127248163344,5823.860177014039,5792.063470294062,0.000517736398596427,0.0007004459537960883,0.09301248503464572,0.002928023466989433,0.10804684587856132,0.10804684587856132,0.10128512326272066,0.11480856849440199,3.00687216878312,Neutral,True,True,True,False,False,False,True,False,1
2024-10-30,5813.669921875,-0.003300233889343751,5821.31261322928,5794.027693165057,-0.0004382023436132361,0.0003378628125418234,0.09287684129447828,0.003167880224394958,0.1052323125383699,0.1052323125383699,0.0979095998487656,0.11255502522797421,2.4710942487783245,Neutral,True,True,True,False,False,False,False,True,1
2024-10-31,5705.4501953125,-0.018614700871699585,5792.347008750085,5785.975193360278,-0.005076830659742347,-0.0014113697480690234,0.09602668472105023,0.007041546244141609,0.10465548452609552,0.10465548452609552,0.0968151761478262,0.11249579290436486,1.225412644591269,Neutral,True,True,True,False,False,False,False,True,1
2024-11-01,5728.7998046875,0.004092509543626166,5776.460207734439,5780.777430753662,-0.0027731464804628997,-0.0009073039351738896,0.09832435615811107,0.009143490288445022,0.1373772398836272,0.1373772398836272,0.15020996588728971,0.12454451387996472,4.271113381600981,Neutral,True,True,False,True,False,True,False,True,-1
2024-11-04,5712.68994140625,-0.002812083478299976,5760.517641152392,5774.587658994807,-0.0027907284914053566,-0.0010835126398145978,0.10006035704891621,0.009596630874143811,0.1332998050824294,0.1332998050824294,0.141725807157792,0.12487380300706678,3.4636580764057707,Neutral,True,True,False,True,False,False,False,True,-1
2024-11-05,5782.759765625,0.012265644545291332,5766.078172270543,5775.330577779369,0.0009615704859824223,0.00012847132073149416,0.10230147806499275,0.009909178585681569,0.13014486332358532,0.13014486332358532,0.13316895125349634,0.1271207753936743,2.809858054110089,Neutral,True,True,False,True,False,False,True,False,1
2024-11-06,5929.0400390625,0.025295927786425976,5806.8186389685325,5789.304165168745,0.006871342819339614,0.002356804355732688,0.10826993741955356,0.015474596701106172,0.1333806779597407,0.1333806779597407,0.14666033675178655,0.12010101916769486,1.6227072682541808,Neutral,True,True,True,False,True,False,True,False,1
